번호,파일,상황,수신자,유형,현재 문구
1,blocks.ts,대여 가능 단말 없음,사용자,본문,"😔 현재 대여 가능한 단말이 없습니다."
2,blocks.ts,단말 목록 헤더,사용자,헤더,"대여 가능한 단말 목록"
3,blocks.ts,단말 목록 각 항목,사용자,버튼,"대여 신청"
4,bot.ts,멘션 — 대여 키워드 없음,사용자,본문,"안녕하세요! 👋 `빌려줘` 또는 `목록`이라고 말씀해주시면 대여 가능한 단말을 보여드릴게요."
5,bot.ts,DM — 대여 키워드 없음,사용자,본문,"안녕하세요! 👋 `빌려줘` 또는 `목록`이라고 보내주시면 대여 가능한 단말을 보여드릴게요."
6,bot.ts,대여 신청 버튼 클릭 직후 (로딩),사용자,본문,"{모델명} 대여 신청 중..."
7,bot.ts,대여 신청 모달 — 제목,사용자,모달 제목,"단말 대여 신청"
8,bot.ts,대여 신청 모달 — 기기 정보,사용자,모달 본문,"*{모델명}*  |  {OS버전}  |  {자산번호}"
9,bot.ts,대여 신청 모달 — 대여 시작일 라벨,사용자,모달 라벨,"대여 시작일"
10,bot.ts,대여 신청 모달 — 반납 예정일 라벨,사용자,모달 라벨,"반납 예정일"
11,bot.ts,대여 신청 모달 — 날짜 선택 placeholder,사용자,모달 placeholder,"날짜 선택"
12,bot.ts,대여 신청 모달 — 제출 버튼,사용자,모달 버튼,"신청하기"
13,bot.ts,대여 신청 모달 — 닫기 버튼,사용자,모달 버튼,"취소"
14,bot.ts,대여 신청 모달 취소,사용자,DM,"신청이 취소됐어요. `빌려줘` 또는 `목록`을 다시 입력해주세요."
15,bot.ts,대여 신청 완료 — 사용자,사용자,본문,"대여 신청이 접수됐어요. 관리자 확인 후 단말 대여해드릴게요!
• 신청 단말 : {모델명}({자산번호})
• 대여 기간 : {시작일} ~ {반납일}"
16,bot.ts,대여 신청 완료 — 관리자 요청,관리자,본문,"*단말 대여 승인 요청*
신청자: <@{user_id}>  |  {모델명}  |  {자산번호}  |  {시작일} ~ {반납일}
📋 시트 바로가기"
17,bot.ts,대여 신청 완료 — 관리자 요청 버튼: 승인,관리자,버튼,"승인"
18,bot.ts,대여 신청 완료 — 관리자 요청 버튼: 기기변경,관리자,버튼,"기기 변경 후 승인"
19,bot.ts,대여 신청 완료 — 관리자 요청 버튼: 거절,관리자,버튼,"거절"
20,bot.ts,대여 승인 — 사용자,사용자,본문,":action_check: 대여가 승인됐어요!
• 신청 단말 : {모델명}({자산번호})
• 반납 예정일 : *{반납일}*
반납하시거나 연장하시려면 아래 버튼을 눌러주세요."
21,bot.ts,대여 승인 — 사용자 버튼: 반납하기,사용자,버튼,"반납하기"
22,bot.ts,대여 승인 — 사용자 버튼: 연장하기,사용자,버튼,"연장하기"
23,bot.ts,대여 승인 — 관리자 메시지 업데이트,관리자,본문,":action_check: 승인 처리 완료
• 대여자 : {이름}
• 신청 단말 : {모델명}({자산번호})
• 대여 기간 : {시작일} ~ {반납일}"
24,bot.ts,대여 거절 — 사용자,사용자,본문,"*{모델명}({자산번호})* 대여 신청이 거절됐어요. 다른 단말을 선택하거나 관리자에게 문의해주세요."
25,bot.ts,대여 거절 — 사용자 버튼,사용자,버튼,"다른 기기 선택하기"
26,bot.ts,기기 변경 후 승인 모달 — 제목,관리자,모달 제목,"기기 변경 후 승인"
27,bot.ts,기기 변경 후 승인 모달 — 신청 정보,관리자,모달 본문,"*신청자*: <@{user_id}>
*신청 기기*: {모델명} (`{자산번호}`)
*기간*: {시작일} ~ {반납일}"
28,bot.ts,기기 변경 후 승인 모달 — 기기 선택 라벨,관리자,모달 라벨,"변경할 기기 선택"
